,id,name,domain_id,closed,city_name,zipcode,geohash,new_open,weighted_average_rating,number_of_chains,number_of_bookmarks,number_of_reviews,number_of_product_tags,total_number_of_views,number_of_checkins,number_of_menu_groups,number_of_menu_photos,category_name,price_range,avg_price,parking,credit_card_accepted,good_for_groups,good_for_kids,bookable,best_of_wongnai,wifi,number_of_seats,music_venue,hotel_restaurant,pet_friendly,delivery
212389,294852,ไก่อบเชียงไฮ้โกเลน,1,0,Nakhon Si Thammarat,,w1x048p,0,4.0,,1.0,2,0,398,1,0,0,Street Food/Food Stands,1.0,,1.0,0.0,,,,,,,,,,
212710,295235,ไหซัวตระกูลเส้น,1,0,Nakhon Si Thammarat,80170,w1rmf81,0,4.8,,3.0,2,0,915,0,0,0,Thai,,,,,,,,,,,,,,
212891,295465,จรัญยา ป้ากับลุงปรุงก๋วยเตี๋ยว,1,0,Nakhon Si Thammarat,80000,w1rpfvg,0,3.6086956519999998,,13.0,6,2,2358,4,0,6,Noodles,1.0,,3.0,0.0,,,,,1.0,2.0,,,,1.0
212924,295507,ไทยเพลส รีสอร์ท Thaiplace Resort,1,0,Nakhon Si Thammarat,80160,w1x1d1p,0,0.0,,3.0,0,0,497,0,0,0,Thai,2.0,,,,,,,,,,,,,
212972,295581,หรอย ข้าวแกงพื้นบ้าน,1,0,Nakhon Si Thammarat,,w1x04fd,0,3.0,,,1,0,195,1,0,0,Quick Meal,1.0,,1.0,,,,,,,,,,,
212976,295586,Giant  Squid,1,0,Nakhon Si Thammarat,,w1rpdve,0,4.0,2.0,1.0,1,0,541,0,0,0,Seafood,2.0,,3.0,0.0,,,,,0.0,0.0,,,,
213114,295801,Yoghurtcoffee,1,0,Nakhon Si Thammarat,80230,w1wbrk5,0,0.0,,,0,0,656,0,0,0,Café/Coffee Shop,,,,,,,,,,,,,,1.0
213175,295912,โกปี๊,1,0,Nakhon Si Thammarat,80000,w1x04sz,0,3.861495845,,10.0,19,4,6124,15,0,9,Chinese,1.0,,3.0,0.0,,,,,,4.0,,,,
213188,295933,ข้าวมันไก่โกฉุย,1,0,Nakhon Si Thammarat,,w1xh2me,0,5.0,,12.0,2,2,2141,1,0,0,Quick Meal,1.0,,1.0,,,,,,,,,,,
213241,296001,Banana Bakery,1,0,Nakhon Si Thammarat,,w1x11xr,0,3.617647059,,1.0,2,2,1188,2,0,0,Fusion Food,2.0,,1.0,,,,,,1.0,2.0,,,,
213435,296271,สวนอาหารแสงโสม,1,0,Nakhon Si Thammarat,80110,w1qyk4q,0,0.0,,,0,0,402,0,0,0,Thai,,,,,,,,,,,,,,
213450,296288,เสวนา...ที่นี่สถานบันเทิง,1,0,Nakhon Si Thammarat,,w1rpg50,0,3.952380952,,,2,0,797,0,0,1,Bars,3.0,,3.0,,,,,,,,,,,
213564,296421,ล่องแก่งหนานมดแดง,4,0,Nakhon Si Thammarat,93210,w1rhbhn,0,3.9629629630000003,,3.0,2,0,494,0,0,0,Activities/Entertainment,,,,,,,,,,,,,,
213606,296477,ขนมจีนนักร้อง,1,0,Nakhon Si Thammarat,,w1qymrf,0,5.0,,,1,1,683,0,0,0,Southern Food,1.0,,3.0,0.0,,,,,0.0,3.0,,,,
213898,296848,โรงแรมเนียร์วาน่าดีทอกซ์ฮีลลิ่งเซ็นเตอร์,3,0,Nakhon Si Thammarat,80210,w1x5bwy,0,0.0,,,0,0,143,0,0,0,Hotel/Resort,,,3.0,,,,,,1.0,,,,0.0,
214019,296988,บ้านพักนิทาน,1,0,Nakhon Si Thammarat,,w1rpfgf,0,4.8,,14.0,2,1,2393,0,0,1,Café/Coffee Shop,1.0,,3.0,0.0,1.0,1.0,1.0,,1.0,2.0,,1.0,,
214034,297007,ขนมบ้านโกไข่,1,0,Nakhon Si Thammarat,,w1qy7vn,1,4.0,,2.0,1,0,584,2,0,4,Bakery/Cake,1.0,,3.0,,,,,,,,,,,
214065,297041,จันดี ติ่มซำ,1,0,Nakhon Si Thammarat,,w1qz9n5,0,4.6363636360000005,,2.0,2,0,671,0,0,0,Chinese,1.0,,1.0,0.0,1.0,1.0,,,2.0,2.0,,,,
214204,297208,นาเดีย,1,0,Nakhon Si Thammarat,80000,w1rpfxj,0,0.0,,1.0,0,0,144,0,0,0,Thai,,,,,1.0,,,,,,,,,
214493,297547,ครัวอิศร ข้าวแกงพื้นบ้าน,1,0,Nakhon Si Thammarat,80210,w1xh22d,0,4.0,,2.0,2,0,705,0,0,1,Thai,1.0,,,,,,,,,,,,,
214642,297745,บุญรอด กุ้งกระทะ,1,0,Nakhon Si Thammarat,,w1rpfur,0,3.0,,,1,0,693,0,0,0,Moo Kata,2.0,,3.0,,,,,,1.0,3.0,,,,
214657,297761,หว๊าน หวาน บ้านขนม,1,0,Nakhon Si Thammarat,80000,w1rpfsg,0,4.020833333,,22.0,9,1,5910,1,0,3,Dessert,2.0,,1.0,0.0,1.0,1.0,,,1.0,2.0,,,,
214669,297773,Shabushi ,1,0,Nakhon Si Thammarat,80000,w1rpdvg,0,3.291666667,128.0,3.0,3,4,4426,2,0,0,Sukiyaki/Shabu,3.0,,3.0,1.0,1.0,1.0,,,,,,,,
214843,298002,Cafe Amazon,1,0,Nakhon Si Thammarat,,w1rprxv,0,5.0,576.0,1.0,1,13,635,0,0,0,Café/Coffee Shop,1.0,,3.0,,,,,,,,,,,
215231,298468,จัสท์อีท (Just Eat by Sumbeer),1,0,Nakhon Si Thammarat,80110,w1qykhw,0,0.0,,5.0,0,0,2646,0,0,4,Karaoke,2.0,,3.0,,1.0,1.0,1.0,,,,,,,1.0
215341,298589,ครัวไม้แกน,1,0,Nakhon Si Thammarat,80000,w1rpg71,0,3.451612903,,,2,0,442,2,0,1,North East,2.0,,3.0,0.0,1.0,1.0,0.0,,0.0,2.0,,,,
215402,298659,ครัวเรือนไทย,1,0,Nakhon Si Thammarat,80220,w1qz9kk,0,0.0,,,0,0,195,0,0,0,Thai,,,,,,,,,,,,,,
215459,298724,ลันเบอเกอร์สี่แยกหน้าทัพ,1,0,Nakhon Si Thammarat,80160,w1x0fqr,0,3.03125,,4.0,5,1,2281,5,0,8,American,1.0,,3.0,0.0,1.0,1.0,1.0,,,,,,,
215511,298785,หัวกบแต่เตี้ยม,1,0,Nakhon Si Thammarat,,w1rpfyj,0,4.0,,3.0,1,1,788,0,0,3,Dim Sum,2.0,,,0.0,,,,,1.0,2.0,,,,
215518,298793,ป้าเน้ย (ข้าวแกง อาหารตามสั่ง),1,0,Nakhon Si Thammarat,80000,w1x04b5,0,4.018518519,,5.0,4,2,1098,2,0,1,Quick Meal,1.0,,,0.0,,,,,,,,,,
215587,298876,ครัวพึ่งพุง,1,0,Nakhon Si Thammarat,80000,w1rpg52,1,3.0,,,1,0,293,1,0,0,Southern Food,2.0,,1.0,0.0,,,,,,,,,,
215626,298926,ก๋วยเตี๋ยวหมูพริกเผาโกตี๋,1,0,Nakhon Si Thammarat,80000,w1x049n,0,4.0,,6.0,3,1,953,2,0,0,Noodles,1.0,,1.0,,,1.0,,,,,,,,
215730,299055,Hug Cafe & Restaurant,1,0,Nakhon Si Thammarat,,w1qyknq,1,2.0,,1.0,1,0,615,1,0,0,Steak House/Barbeque,2.0,,1.0,,,,,,,2.0,,,,
215815,299151,เพื่อนกาแฟ,1,0,Nakhon Si Thammarat,80240,w1qxm16,0,4.0,,10.0,1,0,1727,1,0,8,Café/Coffee Shop,2.0,,,,,,,,,,,,,
215911,299268,ข้าวต้มปลากระพง,1,0,Nakhon Si Thammarat,80000,w1x04bd,0,3.722222222,,5.0,5,3,896,2,0,1,Thai,1.0,,1.0,0.0,,,,,,,,,,
216170,299564,ก๋วยเตี๋ยวเรือ.COM,1,0,Nakhon Si Thammarat,80110,w1qykqe,0,3.384615385,,4.0,2,1,1732,4,0,1,Noodles,1.0,,3.0,0.0,,,,,2.0,3.0,,,,
216236,299637,ร้านนั่งเล่น,1,0,Nakhon Si Thammarat,,w1rj76w,0,0.0,,1.0,0,0,1435,0,0,6,Karaoke,2.0,,1.0,1.0,1.0,1.0,1.0,,1.0,3.0,,,,
216390,299823,ก๋วยเตี๋ยวหมูต้มยำ นครปฐม,1,0,Nakhon Si Thammarat,,w1rpfyf,0,4.0,,3.0,1,1,409,1,0,0,Noodles,1.0,,,,,,,,,,,,,
216422,299861,กาแฟสด,1,0,Nakhon Si Thammarat,80160,w1x19g7,0,0.0,,,0,0,113,0,0,0,Juice/Coffee/Tea/Soft drinks,,,,,,,,,,,,,,
216491,299944,ชาบูหมูกะทะ,1,0,Nakhon Si Thammarat,,w1qykjy,0,0.0,,,0,0,85,0,0,0,Thai,2.0,,,,,,,,,,,,,
216498,299953,ป้าวิทย์เป็ดพะโล้,1,0,Nakhon Si Thammarat,,w1xh236,0,4.0,,,1,0,170,0,0,0,Quick Meal,2.0,,,,,,,,,,,,,
216573,300040,Sneaker De Bear,1,0,Nakhon Si Thammarat,,w1rpfzg,1,3.37037037,,5.0,3,1,608,2,0,0,Café/Coffee Shop,2.0,,,,,,,,,,,,,
216599,300072,ตำกะเทย,1,0,Nakhon Si Thammarat,,w1x042s,0,3.0,,,1,2,706,0,0,1,North East,2.0,,1.0,0.0,0.0,0.0,0.0,,1.0,2.0,,,,
216684,300172,Cafe Amazon,1,0,Nakhon Si Thammarat,80120,w1wgz30,0,4.0,576.0,1.0,1,14,383,0,0,0,Café/Coffee Shop,2.0,,,,,,,,,,,,,
216720,300213,ซี สโตน,1,0,Nakhon Si Thammarat,80120,w1x51wj,0,3.615384615,,10.0,7,0,3201,8,0,1,Thai,2.0,,3.0,,1.0,1.0,1.0,,,,,1.0,,
216846,300369,โรงแรมช่อลดา,3,0,Nakhon Si Thammarat,80000,w1x0491,0,0.0,,,0,0,133,0,0,0,Hotel/Resort,,,3.0,,,,,,1.0,,,,0.0,
217031,300597,Pixzel Caffe,1,0,Nakhon Si Thammarat,,w1rpfg3,0,4.172222222,,259.0,67,1,22726,43,0,17,Cafe,2.0,,1.0,0.0,1.0,,,2018.0,1.0,2.0,,,,
217217,300821,โจ๊กร่มไทร,1,0,Nakhon Si Thammarat,80140,w1rr2ju,0,5.0,,3.0,1,1,719,1,0,0,Other,1.0,,3.0,,1.0,1.0,1.0,,,,,,,
217303,300913,ก๋วยเตี๋ยวหมูเด้งดึ๋ง,1,0,Nakhon Si Thammarat,,w1rpffc,0,3.0,,2.0,2,1,1017,2,0,1,Noodles,1.0,,,,,,,,,,,,,
217640,301301,ร้านขนมจีนปาหนัน,1,0,Nakhon Si Thammarat,,w1rpfc5,0,4.0,,2.0,1,1,437,2,0,1,Thai,1.0,,,0.0,,,,,,,,,,
217663,301333,ปั้นแต่ง,1,0,Nakhon Si Thammarat,80120,w1x50yg,0,3.3181818180000002,,2.0,4,2,1630,2,0,1,Café/Coffee Shop,1.0,,,,,,,,,,,,,
217666,301337,ร้านใยไหม,1,0,Nakhon Si Thammarat,,w1x13cw,0,4.0,,2.0,1,2,203,0,0,0,Dessert,1.0,,1.0,,,,,,,,,,,
217721,301405,The Pizza Company,1,0,Nakhon Si Thammarat,80000,w1x04b5,0,3.62,,3.0,5,11,4732,4,0,0,Pizza,2.0,,1.0,1.0,1.0,1.0,1.0,,0.0,3.0,,,,
217881,301585,สเต็กโชกุน,1,0,Nakhon Si Thammarat,80000,w1rpdyt,0,3.0,,1.0,1,0,755,0,0,0,Steak House/Barbeque,1.0,,,,,,,,,,,,,
217882,301587,จิตตราเบเกอร์รี่,1,0,Nakhon Si Thammarat,80000,w1rp733,0,0.0,,,0,0,276,0,0,0,Bakery/Cake,,,,,,,,,,,,,,
217915,301625,กินเตี๊ยวค๊าบ,1,0,Nakhon Si Thammarat,80000,w1rpfvf,0,4.019230769,,5.0,2,1,675,3,0,2,Noodles,1.0,,,,,,,,,,,,,
217952,301667,The Gorilla Cafe,1,0,Nakhon Si Thammarat,,w1rpffw,0,4.461538462,,3.0,3,0,1576,3,0,1,Juice/Coffee/Tea/Soft drinks,1.0,,3.0,0.0,1.0,1.0,,,,,,,,
218023,301746,น้องบีคาราโอเกะ,1,0,Nakhon Si Thammarat,80000,w1x04b2,0,0.0,,,0,0,662,0,0,0,Karaoke,,,,,,,,,,,,,,
218174,301919,ก๋วยเตี๋ยวสามตุ๋น,1,0,Nakhon Si Thammarat,,w1x11zb,0,3.0,,2.0,1,0,299,1,0,2,Noodles,1.0,,1.0,0.0,,,,,1.0,2.0,,,,
218234,302002,ร้านดั้ก,1,0,Nakhon Si Thammarat,,w1x11wy,0,3.0,,1.0,1,0,219,0,0,1,Juice/Coffee/Tea/Soft drinks,1.0,,0.0,0.0,,,,,,,,,,
218464,302272,โรงหนมจีน @ เมืองคอน,1,0,Nakhon Si Thammarat,,w1rpfvf,0,0.0,,,0,0,109,1,0,0,Quick Meal,1.0,,1.0,,,,,,,,,,,
218510,302327,Kj Coffee,1,0,Nakhon Si Thammarat,,w1x11xr,0,3.0,,,1,0,801,0,0,1,Vegeterian,1.0,,1.0,,,,,,,,,,,
218653,302489,Garato House's-การาโต้,1,0,Nakhon Si Thammarat,,w1qy7s8,0,4.1875,,6.0,4,0,1306,1,0,0,Pizza,1.0,,3.0,,1.0,1.0,,,1.0,2.0,,,,
218668,302505,ตุ่น ก๋วยเตี๋ยวเรือ,1,0,Nakhon Si Thammarat,,w1rpfrk,0,4.0,,1.0,2,2,550,2,0,0,Noodles,1.0,,,,,,,,,,,,,
218824,302683,วัดภูเขาหลัก,4,0,Nakhon Si Thammarat,,w1qxtpn,0,0.0,,,0,0,15,0,0,0,Temple,,,,,,,,,,,,,,
219118,303029,ครัวอนงค์,1,0,Nakhon Si Thammarat,80000,w1rpcz7,0,0.0,,2.0,0,0,354,1,0,0,Chinese,1.0,,1.0,,,,,,,,,,,
219166,303084,ก๋วยเตี๋ยวแปลก,1,0,Nakhon Si Thammarat,,w1x00mk,0,4.0,,1.0,1,0,330,0,0,0,Noodles,1.0,,3.0,,,,,,,2.0,,,,
219396,303347,มิตรภาพ,1,0,Nakhon Si Thammarat,,w1x13cz,0,4.0,,4.0,2,0,1598,7,0,0,Dim Sum,1.0,,1.0,0.0,,,,,,,,,,
219404,303356,ส.มินิมาร์ท,1,0,Nakhon Si Thammarat,,w1rj50t,1,0.0,,,0,0,210,0,0,0,Noodles,1.0,,,,,,,,1.0,2.0,,,,
219483,303448,ทราย,1,0,Nakhon Si Thammarat,80120,w1xh28v,0,0.0,,,0,0,166,0,0,0,Other,,,,,,,,,,,,,,
219489,303456,Chocomost Chocolate Pizza,1,0,Nakhon Si Thammarat,80000,w1rpfzf,0,0.0,,,0,0,718,0,0,0,Dessert,2.0,,1.0,0.0,1.0,1.0,0.0,,,,,,,1.0
219575,303556,บัตเตอร์ สเต็กเฮ้าส์,1,0,Nakhon Si Thammarat,,w1rpfym,0,3.384615385,,1.0,2,0,351,0,0,0,Steak House/Barbeque,1.0,,1.0,,,,,,,,,,,
219599,303585,กินเตี๋ยว ชาววัง,1,0,Nakhon Si Thammarat,,w1rpfu8,0,4.0,,1.0,0,0,115,0,0,0,Noodles,1.0,,,,,,,,,,,,,
219635,303627,TOP COFFEE,1,0,Nakhon Si Thammarat,80110,w1qymm8,0,4.0,,1.0,1,0,808,1,0,0,Café/Coffee Shop,1.0,,3.0,0.0,1.0,1.0,1.0,,,,,,,
219678,303676,Alis Steak House,1,0,Nakhon Si Thammarat,80230,w1qzyx6,0,2.0,,2.0,0,0,731,2,0,3,Steak House/Barbeque,1.0,,,0.0,1.0,1.0,1.0,,1.0,,,,,
219695,303695,หลาล่างขนมจีน,1,0,Nakhon Si Thammarat,80000,w1rpfdr,0,0.0,,1.0,0,0,141,0,0,0,Thai,,,,,,,,,,,,,,
219732,303740,Check in Cafe @ Kiriwong,1,0,Nakhon Si Thammarat,80230,w1wbn0e,0,3.157894737,,6.0,7,1,1587,4,0,2,Café/Coffee Shop,2.0,,1.0,0.0,1.0,1.0,,,1.0,2.0,,,,
219896,303923,ครัวคุณหญิง,1,0,Nakhon Si Thammarat,80000,w1rpfzs,0,3.788461538,,9.0,10,5,2575,10,0,7,Southern Food,1.0,,1.0,1.0,,,,,,,,,,
219944,303975,ก๊ะแดง อาหารตามสั่ง,1,0,Nakhon Si Thammarat,,w1rpcxm,0,3.0,,,1,0,182,1,0,1,Quick Meal,1.0,,1.0,,,,,,,2.0,,,,
220038,304084,ข้าวแกงน้องโจ้ก,1,0,Nakhon Si Thammarat,,w1rj76q,0,3.0,,1.0,1,0,159,1,0,0,Quick Meal,1.0,,1.0,0.0,,,,,,,,,,
220088,304137,โกชิน,1,0,Nakhon Si Thammarat,80000,w1x048m,0,3.116883117,,9.0,7,6,2132,8,0,2,Quick Meal,1.0,,0.0,0.0,1.0,1.0,0.0,,,,,,,
220178,304238,ขาหมูฮ่องเต้เมืองคอน,1,0,Nakhon Si Thammarat,,w1x04g1,0,0.0,,1.0,0,0,97,0,0,0,Quick Meal,1.0,,3.0,1.0,1.0,1.0,1.0,,1.0,3.0,,,,
220241,304327,I Am Pizza,1,0,Nakhon Si Thammarat,,w1rpfxq,0,0.0,,,0,0,230,1,0,0,Pizza,1.0,,,,,,,,,,,,,
220363,304466,สวนอาหาร 333 คาราโอเกะ,1,0,Nakhon Si Thammarat,80360,w1qtxte,0,0.0,,,0,0,418,0,0,0,Karaoke,,,,,,,,,,,,,,
220379,304482,เหมือนอีสาน,1,0,Nakhon Si Thammarat,80000,w1x049t,0,0.0,,,0,0,79,0,0,0,North East,,,,,,,,,,,,,,
220388,304492,ครัวอลิน,1,0,Nakhon Si Thammarat,,w1xh26e,0,4.0,,4.0,2,1,734,2,0,0,Seafood,2.0,,1.0,0.0,,,,,,,,,,
220466,304590,kitchen plus,1,0,Nakhon Si Thammarat,80110,w1qykq6,0,0.0,77.0,,0,24,136,0,0,0,Fusion Food,2.0,,3.0,,1.0,1.0,,,,,,,,
220740,304888,ขนมจาก มะพร้าวอ่อน ป้าทีป,1,0,Nakhon Si Thammarat,80110,w1qykq7,0,4.0,,6.0,2,0,856,2,0,0,Street Food/Food Stands,1.0,,,,,,,,,,,,,
220839,304996,วอลแตร์,1,0,Nakhon Si Thammarat,,w1rpftr,0,4.0,,1.0,1,0,364,1,0,0,Café/Coffee Shop,1.0,,,,,,,,,,,,,
220845,305002,สวนอาหารหรรษา,1,0,Nakhon Si Thammarat,80000,w1rpg1c,0,0.0,,,0,0,348,0,0,0,Thai,,,,,,,,,,,,,,
220953,305128,ร้านนู๋ดาวกาแฟสด,1,0,Nakhon Si Thammarat,,w1rr2p3,0,5.0,,,1,0,312,0,0,0,Café/Coffee Shop,1.0,,1.0,,,,,,,,,,,
221015,305201,Yayoi CentralPlaza Nakhon Si Thammarat,1,0,Nakhon Si Thammarat,,w1rpdvg,0,3.401960784,,4.0,5,0,1444,6,0,3,Japanese,2.0,,3.0,1.0,,,,,,,,,,
221022,305208,บังบ่าว ,1,0,Nakhon Si Thammarat,,w1x04bw,0,3.888888889,,2.0,5,4,1020,3,0,1,Quick Meal,1.0,,1.0,0.0,,,,,,3.0,,,,
221170,305371,โกปี๊,1,0,Nakhon Si Thammarat,80000,w1rpfsz,0,3.6939017169999997,,251.0,135,5,47321,125,0,49,Café/Coffee Shop,1.0,,3.0,0.0,1.0,1.0,,,2.0,2.0,0.0,,,
221346,305567,หนานหยวน,1,0,Nakhon Si Thammarat,,w1rpfu0,0,3.214285714,,,3,0,341,1,0,0,Noodles,1.0,,1.0,,,,,,,,,,,
221445,305677,ถ้ำแก้วสุรกานต์,4,0,Nakhon Si Thammarat,80230,w1qzwdj,0,0.0,,1.0,0,0,216,0,0,0,Cave,,,,,,,,,,,,,,
221587,305841,มูนไลท์เฮ้าส์คาราโอเกะ,1,0,Nakhon Si Thammarat,80130,w1rnjug,0,0.0,,,0,0,351,0,0,0,Karaoke,,,,,,,,,,,,,,
221617,305877,ร้านพอจัยติ่มซำ,1,0,Nakhon Si Thammarat,80000,w1rpgsm,0,3.0,,,1,0,331,0,0,0,Dim Sum,2.0,,0.0,,,,,,,,,,,
221714,305981,ครัวป.ปลาเจ๊รัตน์,1,0,Nakhon Si Thammarat,80110,w1qy7tu,0,5.0,,1.0,1,1,690,1,0,3,Noodles,2.0,,3.0,0.0,1.0,1.0,1.0,,0.0,2.0,,,,
221961,306270,ก๋วยเตี๋ยวแหม่ม,1,0,Nakhon Si Thammarat,80110,w1rn2rq,0,0.0,,,0,0,308,0,0,0,Noodles,,,,,,,,,,,,,,
222059,306377,ก๋วยเตี๋ยวพี่นี,1,0,Nakhon Si Thammarat,80000,w1rpcxr,0,5.0,,1.0,1,1,534,0,0,0,Noodles,1.0,,1.0,,,,,,,,,,,
222409,306809,เขียวหวาน,1,0,Nakhon Si Thammarat,80000,w1x14nu,0,0.0,,,0,0,263,0,0,0,Other,,,,,,,,,,,,,,
222518,306931,สุกี้รสเด็ด ก๋วยเตี๋ยวซี่โครงหมู,1,0,Nakhon Si Thammarat,80000,w1rpfym,0,3.450549451,,4.0,4,2,859,4,0,0,Noodles,1.0,,,,,,,,,,,,,
222619,307050,ขนมจีนบ้านเก่า,1,0,Nakhon Si Thammarat,,w1xh229,0,5.0,,10.0,1,1,1356,0,0,0,North East,1.0,,1.0,0.0,,,,,,,,,,
222712,307154,อ้วน เมืองคร,1,0,Nakhon Si Thammarat,,w1rpfxj,0,0.0,,,0,0,120,0,0,0,Muslim,1.0,,1.0,,,,,,,1.0,,,,
222723,307167,ลำภูหมูกระทะ,1,0,Nakhon Si Thammarat,80110,w1qykhu,0,0.0,,1.0,0,0,1314,0,0,0,Moo Kata,,,,,,,,,,,,,,
222885,307347,ร้านคุณปู่,1,0,Nakhon Si Thammarat,80000,w1rp75r,0,4.0,,1.0,1,1,603,0,0,0,North East,2.0,,,,,,,,,,,,,
223017,307494,ก๋วยเตี๋ยวเรือร้อยชาม,1,0,Nakhon Si Thammarat,80000,w1rpfzc,0,2.307692308,,6.0,2,0,1313,1,0,0,Noodles,1.0,,,,,,,,,,,,,
223227,307849,ครัวอุดมดี,1,0,Nakhon Si Thammarat,80000,w1x11zq,0,0.0,,,0,0,189,0,0,0,Thai,,,,,,,,,,,,,,
223434,308077,ครัวน้าดับ,1,0,Nakhon Si Thammarat,80190,w1rnj96,0,0.0,,2.0,0,0,245,3,0,0,Thai,,,,,,,,,,,,,,
223616,308282,ครัวลืมหิว,1,0,Nakhon Si Thammarat,80110,w1qykqy,0,0.0,,,0,0,94,0,0,0,Thai,,,,,,,,,,,,,,
223653,308320,Retro Cafe,1,0,Nakhon Si Thammarat,80000,w1x04cd,0,3.0793650789999996,,15.0,4,0,1613,3,0,1,Muslim,1.0,,1.0,,,,,,1.0,,,,,
223759,308453,ร้านก๋วยเตี๋ยวยายอินทร์ ตำราจน้ำ,1,0,Nakhon Si Thammarat,80210,w1xh2ph,0,5.0,,4.0,1,2,750,1,0,0,Noodles,1.0,,,,,,,,,,,,,
223787,308484,ตำแหล Central Plaza,1,0,Nakhon Si Thammarat,,w1rpdvn,0,4.333333333,,2.0,3,3,971,3,0,0,North East,2.0,,3.0,1.0,1.0,0.0,,,,2.0,,,,
223807,308509,Nakhon Car Spa นคร คาร์ สปา,1,0,Nakhon Si Thammarat,80000,w1rpfsv,0,4.0,,3.0,1,1,402,1,0,0,Café/Coffee Shop,1.0,,3.0,0.0,,,,,,,,,,
223893,308802,ชายเลซีฟู้ด,1,0,Nakhon Si Thammarat,80000,w1x0hyy,0,3.626315789,,19.0,13,1,9329,11,0,7,Seafood,3.0,,3.0,0.0,1.0,1.0,,,,,,,,
224137,309058,ร้านมะลิ ไทยมาสสาจ แอนด์ สปา ,2,0,Nakhon Si Thammarat,80000,w1rpfzg,0,4.5,,,2,0,899,0,0,1,Thai Massage,,,3.0,1.0,,,,,,,,,,
224295,309227,ร้านบ้านเอง,1,0,Nakhon Si Thammarat,80110,w1qy7u9,0,3.45,,4.0,2,0,1506,3,0,1,Southern Food,3.0,,3.0,1.0,,,,,0.0,3.0,,,,
224307,309477,ทิพรส,1,0,Nakhon Si Thammarat,80000,w1rpfxv,0,4.0,,3.0,4,0,880,4,0,0,Other,2.0,,1.0,0.0,,,,,,,,,,
224346,309788,ก๋วยเตี๋ยวเรือคุณยาย,1,0,Nakhon Si Thammarat,,w1wbrwe,0,2.0,,,1,0,230,0,0,1,Noodles,1.0,,1.0,0.0,,1.0,,,0.0,2.0,,,,
224572,310050,ยกเลซีฟู้ด ใกล้วัดเจดีย์ไอ้ไข่,1,0,Nakhon Si Thammarat,80340,w1x496z,0,0.0,,3.0,0,0,1783,0,0,1,Seafood,1.0,,,,,,,,,,,,,
224947,310481,ร้าน กง น้ำตกพรหมโลก,1,0,Nakhon Si Thammarat,,w1wbx0b,0,3.0,,,1,0,1170,1,0,5,North East,2.0,,1.0,0.0,,,,,,,,,,
224948,310482,อั่งเปา ติ่มซำ,1,0,Nakhon Si Thammarat,,w1x13cr,0,3.476190476,,2.0,2,1,1097,0,0,0,Dim Sum,2.0,,1.0,0.0,,,,,0.0,2.0,,,,
225196,310788,บุรีลำปลายรีสอร์ท,3,0,Nakhon Si Thammarat,80240,w1qxhv6,0,0.0,,,0,0,34,0,0,0,Hotel/Resort,,,3.0,,,,,,1.0,,,,0.0,
225235,310836,ข้าวแกงน้องภัค,1,0,Nakhon Si Thammarat,,w1x11wv,0,4.140625,,,4,0,565,1,0,0,Southern Food,1.0,,1.0,,,,,,,,,,,
225240,310842,ดิว คอฟฟี่ เลิฟเว่อร์  & สเต็กเฮ้าส์,1,0,Nakhon Si Thammarat,80180,w1rj76t,0,0.0,,2.0,0,0,1126,0,0,9,Steak House/Barbeque,,,,,,,1.0,,,,,,,
225254,310863,ครัวปั้นหยา,1,0,Nakhon Si Thammarat,80000,w1rpfbf,0,3.916666667,,32.0,4,1,7460,2,0,8,Seafood,1.0,,3.0,0.0,1.0,1.0,1.0,,,,,,,
225320,310936,เตี๋ยว-น้ำ,1,0,Nakhon Si Thammarat,,w1xh2me,0,4.0,,,1,0,158,1,0,1,Noodles,1.0,,,,,,,,,,,,,
225452,311094,บัตเตอร์สเต็กเฮาร์,1,0,Nakhon Si Thammarat,,w1x04bj,0,3.433962264,,3.0,3,0,1238,2,0,2,Steak House/Barbeque,1.0,,3.0,0.0,,,,,1.0,,,,,
225660,311319,ร้านกาแฟสดคุณดำ,1,0,Nakhon Si Thammarat,80110,w1qykpm,0,3.913043478,,3.0,2,0,1206,1,0,0,Café/Coffee Shop,2.0,,0.0,,,,,,,,,,,
225674,311333,ก๋วยเตี๋ยวหมูคุณติ๋ม,1,0,Nakhon Si Thammarat,80000,w1rpgn0,0,4.0,,1.0,1,2,465,0,0,1,Noodles,1.0,,,,,,,,,,,,,
225739,311405,ณัฐการอาหารปักต์ใต้ทุ่งสง,1,0,Nakhon Si Thammarat,,w1qykwy,0,0.0,,2.0,0,2,440,0,0,4,Southern Food,1.0,,3.0,0.0,1.0,1.0,,,1.0,2.0,,,,
225794,313832,ร้านอาหารน้ำผึ้ง 2 หมูย่างเกาหลี,1,0,Nakhon Si Thammarat,,w1qz9n4,0,0.0,,,0,0,425,0,0,0,Quick Meal,,,,0.0,1.0,1.0,1.0,,1.0,5.0,,,,
225819,313859,Behind The Garden,1,0,Nakhon Si Thammarat,,w1qykrh,0,4.0,,,1,0,339,0,0,0,Quick Meal,1.0,,,,,,,,,,,,,
226055,314325,ลีลาวดีกาแฟสด,1,0,Nakhon Si Thammarat,,w1qykq8,0,3.0,,,1,1,989,1,0,2,Café/Coffee Shop,1.0,,,,,,,,,,,,,
226328,314651,สะตอฟิชชิ่ง,1,0,Nakhon Si Thammarat,80110,w1qy7vm,0,0.0,,,0,0,227,0,0,0,Other,,,,,,,,,,,,,,
